# Frequency list

# Corpus: decow16b
# Query:  "[Ee]in" "[Bb]i(ß|ss)chen" "zu" [tag="ADJ.*"] 21156

# Frequency limit: 0


Lemma	Frequency	
ein bisschen zu süß	10	
ein bisschen zu kitschig	10	
ein bisschen zu doof	10	
ein bisschen zu allgemein	10	
eine bisschen zu öde	9	
eine bisschen zu verbissen	9	
eine bisschen zu still	9	
eine bisschen zu spitz	9	
eine bisschen zu speziell	9	
eine bisschen zu sorglos	9	
eine bisschen zu schlau	9	
eine bisschen zu protzig	9	
eine bisschen zu nervös	9	
eine bisschen zu menschlich	9	
eine bisschen zu krank	9	
eine bisschen zu komisch	9	
eine bisschen zu klobig	9	
eine bisschen zu jüdisch	9	
eine bisschen zu harsch	9	
eine bisschen zu gering	9	
eine bisschen zu feucht	9	
eine bisschen zu empfindlich	9	
eine bisschen zu eckig	9	
eine bisschen zu blond	9	
eine bisschen zu bizarr	9	
ein bisschen zu schlecht	9	
ein bisschen zu ruhig	9	
ein bisschen zu locker	9	
ein bisschen zu kindisch	9	
ein bisschen zu hektisch	9	
ein bisschen zu grob	9	
ein bisschen zu fest	9	
ein bisschen zu dramatisch	9	
ein bisschen zu blauäugig	9	
ein bisschen zu aufwendig	9	
eins bisschen zu teuer	8	
einen bisschen zu weit	8	
einen bisschen zu kurz	8	
eine bisschen zu wuchtig	8	
eine bisschen zu unübersichtlich	8	
eine bisschen zu unspektakulär	8	
eine bisschen zu stramm	8	
eine bisschen zu sexy	8	
eine bisschen zu selbstbewusst	8	
eine bisschen zu salzig	8	
eine bisschen zu rasch	8	
eine bisschen zu primitiv	8	
eine bisschen zu poppig	8	
eine bisschen zu plump	8	
eine bisschen zu philosophisch	8	
eine bisschen zu matt	8	
eine bisschen zu intim	8	
eine bisschen zu herb	8	
eine bisschen zu grau	8	
eine bisschen zu geizig	8	
eine bisschen zu freundlich	8	
eine bisschen zu eindimensional	8	
eine bisschen zu durchsichtig	8	
eine bisschen zu blau	8	
ein bisschen zu schön	8	
ein bisschen zu radikal	8	
ein bisschen zu perfekt	8	
ein bisschen zu offensichtlich	8	
ein bisschen zu nah	8	
ein bisschen zu heikel	8	
ein bisschen zu gewagt	8	
ein bisschen zu euphorisch	8	
ein bisschen zu direkt	8	
ein bisschen zu brutal	8	
eins bisschen zu klein	7	
eine bisschen zu zeitig	7	
eine bisschen zu vorschnell	7	
eine bisschen zu träge	7	
eine bisschen zu spießig	7	
eine bisschen zu spannend	7	
eine bisschen zu schlank	7	
eine bisschen zu schick	7	
eine bisschen zu sauer	7	
eine bisschen zu reichhaltig	7	
eine bisschen zu privat	7	
eine bisschen zu neugierig	7	
eine bisschen zu monoton	7	
eine bisschen zu kommerziell	7	
eine bisschen zu hübsch	7	
eine bisschen zu günstig	7	
eine bisschen zu gruselig	7	
eine bisschen zu gleichmäßig	7	
eine bisschen zu fröhlich	7	
eine bisschen zu flapsig	7	
eine bisschen zu fettig	7	
eine bisschen zu esoterisch	7	
eine bisschen zu dämlich	7	
eine bisschen zu deutsch	7	
eine bisschen zu derb	7	
eine bisschen zu beliebig	7	
ein bisschen zu stressig	7	
ein bisschen zu naiv	7	
ein bisschen zu leise	7	
ein bisschen zu eintönig	7	
ein bisschen zu cool	7	
ein bisschen zu ausführlich	7	
ein bisschen zu albern	7	
eine bisschen zu übereifrig	6	
eine bisschen zu zaghaft	6	
eine bisschen zu wüst	6	
eine bisschen zu wirr	6	
