Source,Target,Type,Id,Label,Weight,att1,att2,Weight_copy
177,636,Undirected,181,,169.486298,169.48631,ein Hauch,169.486298
178,636,Undirected,182,,169.158905,169.15893,ein Hauch,169.158905
179,636,Undirected,183,,168.847794,168.84777,ein Hauch,168.847794
180,636,Undirected,184,,167.953995,167.95405,ein Hauch,167.953995
181,636,Undirected,185,,162.943207,162.94324,ein Hauch,162.943207
182,636,Undirected,186,,158.997604,158.99759,ein Hauch,158.997604
183,636,Undirected,187,,157.264999,157.26497,ein Hauch,157.264999
184,636,Undirected,188,,157.142395,157.14238,ein Hauch,157.142395
5,636,Undirected,189,,155.760803,155.76076,ein Hauch,155.760803
185,636,Undirected,190,,151.301193,151.30118,ein Hauch,151.301193
186,636,Undirected,191,,150.401794,150.40181,ein Hauch,150.401794
187,636,Undirected,192,,148.998306,148.99829,ein Hauch,148.998306
188,636,Undirected,193,,145.605194,145.60517,ein Hauch,145.605194
189,636,Undirected,194,,144.944305,144.94426,ein Hauch,144.944305
190,636,Undirected,195,,144.187302,144.18726,ein Hauch,144.187302
191,636,Undirected,196,,142.389893,142.38989,ein Hauch,142.389893
192,636,Undirected,197,,141.620499,141.62048,ein Hauch,141.620499
193,636,Undirected,198,,139.308304,139.3083,ein Hauch,139.308304
194,636,Undirected,199,,133.764694,133.76471,ein Hauch,133.764694
11,637,Undirected,200,,11438.599609,11438.60372,ein Quäntchen,11438.599609
1,637,Undirected,201,,1907.824951,1907.82522,ein Quäntchen,1907.824951
5,637,Undirected,202,,448.138794,448.13878,ein Quäntchen,448.138794
2,637,Undirected,203,,428.384613,428.38462,ein Quäntchen,428.384613
120,637,Undirected,204,,400.936188,400.9362,ein Quäntchen,400.936188
195,637,Undirected,205,,302.845093,302.84507,ein Quäntchen,302.845093
29,637,Undirected,206,,256.265594,256.26565,ein Quäntchen,256.265594
13,637,Undirected,207,,222.079803,222.0798,ein Quäntchen,222.079803
81,637,Undirected,208,,168.272293,168.27232,ein Quäntchen,168.272293
196,637,Undirected,209,,138.275208,138.27519,ein Quäntchen,138.275208
68,637,Undirected,210,,121.617699,121.61769,ein Quäntchen,121.617699
70,637,Undirected,211,,109.259804,109.25984,ein Quäntchen,109.259804
197,637,Undirected,212,,96.072632,96.07263,ein Quäntchen,96.072632
25,637,Undirected,213,,88.427719,88.42772,ein Quäntchen,88.427719
198,637,Undirected,214,,87.356621,87.35662,ein Quäntchen,87.356621
45,637,Undirected,215,,86.962517,86.96252,ein Quäntchen,86.962517
199,637,Undirected,216,,86.578018,86.57802,ein Quäntchen,86.578018
30,637,Undirected,217,,61.984379,61.98438,ein Quäntchen,61.984379
41,637,Undirected,218,,59.978729,59.97873,ein Quäntchen,59.978729
66,637,Undirected,219,,54.478062,54.47806,ein Quäntchen,54.478062
200,637,Undirected,220,,53.654819,53.65482,ein Quäntchen,53.654819
52,637,Undirected,221,,52.340981,52.34098,ein Quäntchen,52.340981
201,637,Undirected,222,,51.348251,51.34825,ein Quäntchen,51.348251
180,637,Undirected,223,,50.87212,50.87212,ein Quäntchen,50.87212
202,637,Undirected,224,,48.372581,48.37258,ein Quäntchen,48.372581
203,637,Undirected,225,,47.97382,47.97382,ein Quäntchen,47.97382
172,637,Undirected,226,,46.555691,46.55569,ein Quäntchen,46.555691
204,637,Undirected,227,,44.423061,44.42306,ein Quäntchen,44.423061
124,637,Undirected,228,,43.515072,43.51507,ein Quäntchen,43.515072
6,637,Undirected,229,,41.80769,41.80769,ein Quäntchen,41.80769
205,637,Undirected,230,,40.39782,40.39782,ein Quäntchen,40.39782
206,637,Undirected,231,,39.915859,39.91586,ein Quäntchen,39.915859
73,637,Undirected,232,,39.660042,39.66004,ein Quäntchen,39.660042
207,637,Undirected,233,,38.902012,38.90201,ein Quäntchen,38.902012
208,637,Undirected,234,,38.75898,38.75898,ein Quäntchen,38.75898
209,637,Undirected,235,,38.687359,38.68736,ein Quäntchen,38.687359
210,637,Undirected,236,,36.52655,36.52655,ein Quäntchen,36.52655
211,637,Undirected,237,,34.906101,34.9061,ein Quäntchen,34.906101
32,637,Undirected,238,,34.829319,34.82932,ein Quäntchen,34.829319
212,637,Undirected,239,,34.451309,34.45131,ein Quäntchen,34.451309
213,637,Undirected,240,,34.19286,34.19286,ein Quäntchen,34.19286
214,637,Undirected,241,,34.145802,34.1458,ein Quäntchen,34.145802
215,637,Undirected,242,,34.11573,34.11573,ein Quäntchen,34.11573
105,637,Undirected,243,,34.05954,34.05954,ein Quäntchen,34.05954
216,637,Undirected,244,,33.29388,33.29388,ein Quäntchen,33.29388
217,637,Undirected,245,,32.8008,32.8008,ein Quäntchen,32.8008
3,637,Undirected,246,,32.73222,32.73222,ein Quäntchen,32.73222
218,637,Undirected,247,,32.234749,32.23475,ein Quäntchen,32.234749
219,637,Undirected,248,,32.213032,32.21303,ein Quäntchen,32.213032
42,637,Undirected,249,,30.931021,30.93102,ein Quäntchen,30.931021
176,637,Undirected,250,,30.90502,30.90502,ein Quäntchen,30.90502
220,637,Undirected,251,,30.897209,30.89721,ein Quäntchen,30.897209
221,637,Undirected,252,,30.826651,30.82665,ein Quäntchen,30.826651
222,637,Undirected,253,,30.820511,30.82051,ein Quäntchen,30.820511
223,637,Undirected,254,,29.81031,29.81031,ein Quäntchen,29.81031
65,637,Undirected,255,,29.28303,29.28303,ein Quäntchen,29.28303
224,637,Undirected,256,,28.446409,28.44641,ein Quäntchen,28.446409
225,637,Undirected,257,,28.446409,28.44641,ein Quäntchen,28.446409
226,637,Undirected,258,,28.446409,28.44641,ein Quäntchen,28.446409
227,637,Undirected,259,,28.446409,28.44641,ein Quäntchen,28.446409
228,637,Undirected,260,,28.446409,28.44641,ein Quäntchen,28.446409
229,637,Undirected,261,,28.446409,28.44641,ein Quäntchen,28.446409
230,637,Undirected,262,,28.446409,28.44641,ein Quäntchen,28.446409
231,637,Undirected,263,,28.446409,28.44641,ein Quäntchen,28.446409
232,637,Undirected,264,,28.446409,28.44641,ein Quäntchen,28.446409
233,637,Undirected,265,,28.446409,28.44641,ein Quäntchen,28.446409
234,637,Undirected,266,,28.446409,28.44641,ein Quäntchen,28.446409
235,637,Undirected,267,,28.446409,28.44641,ein Quäntchen,28.446409
236,637,Undirected,268,,28.445681,28.44568,ein Quäntchen,28.445681
237,637,Undirected,269,,28.24369,28.24369,ein Quäntchen,28.24369
238,637,Undirected,270,,27.852671,27.85267,ein Quäntchen,27.852671
239,637,Undirected,271,,27.51128,27.51128,ein Quäntchen,27.51128
240,637,Undirected,272,,27.05459,27.05459,ein Quäntchen,27.05459
241,637,Undirected,273,,26.783409,26.78341,ein Quäntchen,26.783409
57,637,Undirected,274,,26.74543,26.74543,ein Quäntchen,26.74543
103,637,Undirected,275,,26.03042,26.03042,ein Quäntchen,26.03042
242,637,Undirected,276,,26.01716,26.01716,ein Quäntchen,26.01716
243,637,Undirected,277,,25.749571,25.74957,ein Quäntchen,25.749571
244,637,Undirected,278,,25.67382,25.67382,ein Quäntchen,25.67382
245,637,Undirected,279,,25.67382,25.67382,ein Quäntchen,25.67382
246,637,Undirected,280,,25.596201,25.5962,ein Quäntchen,25.596201
247,637,Undirected,281,,25.58292,25.58292,ein Quäntchen,25.58292
138,637,Undirected,282,,25.431761,25.43176,ein Quäntchen,25.431761
248,637,Undirected,283,,25.333891,25.33389,ein Quäntchen,25.333891
18,637,Undirected,284,,25.215361,25.21536,ein Quäntchen,25.215361
249,637,Undirected,285,,25.207239,25.20724,ein Quäntchen,25.207239
250,637,Undirected,286,,24.94276,24.94276,ein Quäntchen,24.94276
251,637,Undirected,287,,24.855129,24.85513,ein Quäntchen,24.855129
252,637,Undirected,288,,24.800421,24.80042,ein Quäntchen,24.800421
253,637,Undirected,289,,24.781851,24.78185,ein Quäntchen,24.781851
254,637,Undirected,290,,24.695999,24.696,ein Quäntchen,24.695999
255,637,Undirected,291,,24.627331,24.62733,ein Quäntchen,24.627331
256,637,Undirected,292,,24.627331,24.62733,ein Quäntchen,24.627331
257,637,Undirected,293,,24.230261,24.23026,ein Quäntchen,24.230261
24,637,Undirected,294,,23.913111,23.91311,ein Quäntchen,23.913111
97,637,Undirected,295,,23.64204,23.64204,ein Quäntchen,23.64204
258,637,Undirected,296,,23.44239,23.44239,ein Quäntchen,23.44239
259,637,Undirected,297,,23.44239,23.44239,ein Quäntchen,23.44239
260,637,Undirected,298,,23.44239,23.44239,ein Quäntchen,23.44239
261,637,Undirected,299,,23.241961,23.24196,ein Quäntchen,23.241961
120,638,Undirected,300,,98.674919,98.67492,ein Tacken,98.674919
262,638,Undirected,301,,38.634899,38.6349,ein Tacken,38.634899
263,638,Undirected,302,,20.883909,20.88391,ein Tacken,20.883909
264,638,Undirected,303,,18.08622,18.08622,ein Tacken,18.08622
265,638,Undirected,304,,18.01326,18.01326,ein Tacken,18.01326
266,638,Undirected,305,,16.707911,16.70791,ein Tacken,16.707911
267,638,Undirected,306,,16.62586,16.62586,ein Tacken,16.62586
191,638,Undirected,307,,15.85097,15.85097,ein Tacken,15.85097
268,638,Undirected,308,,15.54268,15.54268,ein Tacken,15.54268
269,638,Undirected,309,,15.49631,15.49631,ein Tacken,15.49631
270,638,Undirected,310,,14.52531,14.52531,ein Tacken,14.52531
271,638,Undirected,311,,14.4883,14.4883,ein Tacken,14.4883
272,638,Undirected,312,,13.81491,13.81491,ein Tacken,13.81491
273,638,Undirected,313,,13.16529,13.16529,ein Tacken,13.16529
